F,G,H,J,M,O
Never-married,Prof-specialty,Unmarried,Male,40,>50K
Never-married,noValueSetHere123156456,Own-child,Male,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Never-married,Transport-moving,Not-in-family,Male,60,<=50K
Divorced,Other-service,Not-in-family,Female,24,<=50K
Never-married,Craft-repair,Not-in-family,Female,40,<=50K
Never-married,Other-service,Not-in-family,Male,6,<=50K
Never-married,Handlers-cleaners,Own-child,Male,30,<=50K
Never-married,Other-service,Not-in-family,Male,40,<=50K
Never-married,Other-service,Unmarried,Female,35,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,45,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,20,<=50K
Never-married,Prof-specialty,Not-in-family,Male,20,<=50K
Married-spouse-absent,Craft-repair,Unmarried,Female,40,<=50K
Never-married,noValueSetHere123156456,Other-relative,Male,40,<=50K
Married-spouse-absent,Adm-clerical,Own-child,Female,20,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,35,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,45,<=50K
Divorced,Prof-specialty,Unmarried,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,60,>50K
Never-married,Other-service,Not-in-family,Female,35,<=50K
Divorced,Adm-clerical,Not-in-family,Male,40,<=50K
Never-married,Exec-managerial,Not-in-family,Female,60,<=50K
Divorced,Prof-specialty,Unmarried,Female,25,<=50K
Never-married,Craft-repair,Own-child,Male,20,<=50K
Divorced,Adm-clerical,Unmarried,Female,36,<=50K
Never-married,Machine-op-inspct,Own-child,Male,40,<=50K
Never-married,Other-service,Own-child,Male,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,35,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,20,<=50K
Never-married,Farming-fishing,Not-in-family,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Divorced,Other-service,Unmarried,Female,42,<=50K
Never-married,Sales,Not-in-family,Female,40,<=50K
Never-married,Exec-managerial,Not-in-family,Male,40,<=50K
Never-married,Protective-serv,Own-child,Male,8,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Separated,Adm-clerical,Unmarried,Female,40,<=50K
Divorced,Other-service,Unmarried,Female,40,<=50K
Married-spouse-absent,Handlers-cleaners,Unmarried,Male,42,<=50K
Widowed,noValueSetHere123156456,Unmarried,Female,30,<=50K
Never-married,Craft-repair,Not-in-family,Male,45,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Divorced,Craft-repair,Not-in-family,Male,45,<=50K
Widowed,noValueSetHere123156456,Unmarried,Female,38,<=50K
Never-married,Adm-clerical,Not-in-family,Female,20,<=50K
Never-married,noValueSetHere123156456,Own-child,Male,24,<=50K
Never-married,noValueSetHere123156456,Unmarried,Female,35,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,80,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Divorced,Handlers-cleaners,Not-in-family,Male,50,<=50K
Married-civ-spouse,Tech-support,Husband,Male,45,>50K
Divorced,Machine-op-inspct,Unmarried,Male,58,>50K
Married-civ-spouse,Sales,Wife,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Divorced,Adm-clerical,Not-in-family,Female,9,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Divorced,Machine-op-inspct,Unmarried,Female,46,<=50K
Never-married,Machine-op-inspct,Not-in-family,Male,40,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,50,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,48,>50K
Married-civ-spouse,Tech-support,Husband,Male,50,<=50K
Widowed,Priv-house-serv,Not-in-family,Female,30,<=50K
Separated,Craft-repair,Not-in-family,Male,40,<=50K
Never-married,Farming-fishing,Not-in-family,Female,45,<=50K
Never-married,noValueSetHere123156456,Unmarried,Female,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Never-married,Prof-specialty,Own-child,Male,40,<=50K
Never-married,Handlers-cleaners,Unmarried,Female,40,<=50K
Never-married,Transport-moving,Not-in-family,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,50,<=50K
Never-married,Handlers-cleaners,Not-in-family,Female,45,<=50K
Married-civ-spouse,Other-service,Wife,Female,8,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,40,<=50K
Never-married,Handlers-cleaners,Own-child,Male,36,<=50K
Never-married,Craft-repair,Unmarried,Male,40,<=50K
Divorced,Exec-managerial,Not-in-family,Male,50,<=50K
Separated,Other-service,Unmarried,Female,40,<=50K
Widowed,Adm-clerical,Unmarried,Female,40,<=50K
Married-civ-spouse,Machine-op-inspct,Wife,Female,40,<=50K
Divorced,Craft-repair,Unmarried,Female,40,>50K
Never-married,Machine-op-inspct,Not-in-family,Female,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Separated,Adm-clerical,Unmarried,Female,20,<=50K
Married-civ-spouse,Tech-support,Wife,Female,32,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Never-married,Transport-moving,Not-in-family,Male,55,<=50K
Married-civ-spouse,Sales,Husband,Male,35,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Never-married,Handlers-cleaners,Unmarried,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,>50K
Never-married,Handlers-cleaners,Own-child,Male,48,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,<=50K
Separated,Other-service,Unmarried,Female,40,<=50K
Separated,Craft-repair,Not-in-family,Male,35,<=50K
Divorced,Exec-managerial,Unmarried,Male,42,<=50K
Never-married,Craft-repair,Own-child,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Never-married,Sales,Own-child,Male,12,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Prof-specialty,Not-in-family,Female,70,<=50K
Married-civ-spouse,Exec-managerial,Wife,Male,40,>50K
Never-married,noValueSetHere123156456,Own-child,Male,25,<=50K
Divorced,Sales,Unmarried,Female,35,<=50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,45,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,30,>50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Tech-support,Not-in-family,Male,40,<=50K
Never-married,Sales,Own-child,Female,24,<=50K
Never-married,Adm-clerical,Not-in-family,Male,60,<=50K
Never-married,Other-service,Own-child,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,47,>50K
Divorced,Prof-specialty,Not-in-family,Male,80,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,40,<=50K
Married-civ-spouse,noValueSetHere123156456,Wife,Female,40,<=50K
Never-married,Transport-moving,Not-in-family,Male,48,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Never-married,Sales,Own-child,Male,40,<=50K
Never-married,noValueSetHere123156456,Unmarried,Female,25,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Never-married,Tech-support,Not-in-family,Male,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,45,<=50K
Never-married,Tech-support,Not-in-family,Male,40,<=50K
Never-married,Adm-clerical,Own-child,Male,28,<=50K
Divorced,Other-service,Not-in-family,Female,40,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Never-married,Farming-fishing,Not-in-family,Male,40,<=50K
Never-married,Adm-clerical,Unmarried,Female,37,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Separated,Exec-managerial,Not-in-family,Male,40,<=50K
Never-married,Other-service,Own-child,Female,21,<=50K
Divorced,Prof-specialty,Not-in-family,Female,60,<=50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,50,<=50K
Never-married,Prof-specialty,Own-child,Male,40,<=50K
Never-married,Other-service,Own-child,Female,20,<=50K
Never-married,Handlers-cleaners,Own-child,Male,60,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,45,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,32,<=50K
Married-civ-spouse,Sales,Husband,Male,55,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,45,>50K
Never-married,Sales,Own-child,Female,20,<=50K
Widowed,Other-service,Not-in-family,Female,20,<=50K
Widowed,Priv-house-serv,Unmarried,Female,24,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,55,<=50K
Married-spouse-absent,Handlers-cleaners,Unmarried,Male,40,<=50K
Never-married,Farming-fishing,Own-child,Male,60,<=50K
Married-civ-spouse,Sales,Husband,Male,45,>50K
Married-civ-spouse,Sales,Husband,Male,64,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Sales,Husband,Male,26,>50K
Never-married,Other-service,Unmarried,Female,40,<=50K
Separated,Other-service,Unmarried,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,60,>50K
Married-civ-spouse,Adm-clerical,Wife,Female,40,>50K
Married-civ-spouse,Craft-repair,Husband,Male,60,<=50K
Never-married,Other-service,Own-child,Female,14,<=50K
Never-married,Handlers-cleaners,Not-in-family,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,60,>50K
Married-civ-spouse,Transport-moving,Husband,Male,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,>50K
Divorced,Craft-repair,Not-in-family,Male,55,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Married-civ-spouse,Craft-repair,Husband,Male,45,<=50K
Separated,Prof-specialty,Not-in-family,Male,40,>50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,15,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,50,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,>50K
Never-married,Other-service,Own-child,Male,20,<=50K
Never-married,Exec-managerial,Other-relative,Male,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Separated,Exec-managerial,Not-in-family,Female,45,<=50K
Never-married,Machine-op-inspct,Own-child,Female,32,<=50K
Never-married,Adm-clerical,Unmarried,Female,40,<=50K
Widowed,noValueSetHere123156456,Unmarried,Female,15,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,45,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,35,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,>50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,>50K
Never-married,Sales,Not-in-family,Male,60,<=50K
Never-married,Prof-specialty,Not-in-family,Male,40,<=50K
Never-married,Prof-specialty,Not-in-family,Male,38,<=50K
Never-married,Sales,Not-in-family,Female,25,<=50K
Divorced,Prof-specialty,Unmarried,Female,40,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-spouse-absent,noValueSetHere123156456,Own-child,Female,40,<=50K
Never-married,Machine-op-inspct,Not-in-family,Male,40,<=50K
Divorced,Exec-managerial,Not-in-family,Male,40,<=50K
Never-married,noValueSetHere123156456,Own-child,Female,20,<=50K
Never-married,Farming-fishing,Own-child,Male,10,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Never-married,Sales,Own-child,Female,40,<=50K
Never-married,Other-service,Own-child,Male,16,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,45,<=50K
Widowed,Exec-managerial,Not-in-family,Male,50,<=50K
Never-married,Protective-serv,Own-child,Male,48,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Separated,Exec-managerial,Unmarried,Male,40,<=50K
Never-married,Adm-clerical,Own-child,Female,5,<=50K
Divorced,Exec-managerial,Not-in-family,Female,40,<=50K
Never-married,noValueSetHere123156456,Not-in-family,Male,4,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,55,<=50K
Never-married,Exec-managerial,Not-in-family,Male,35,<=50K
Never-married,Other-service,Other-relative,Male,30,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,40,<=50K
Never-married,Machine-op-inspct,Own-child,Female,45,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,<=50K
Never-married,Prof-specialty,Own-child,Male,20,<=50K
Never-married,Tech-support,Not-in-family,Female,20,<=50K
Never-married,noValueSetHere123156456,Other-relative,Male,45,<=50K
Never-married,Prof-specialty,Not-in-family,Male,60,>50K
Married-civ-spouse,Tech-support,Husband,Male,40,>50K
Never-married,Prof-specialty,Own-child,Female,40,<=50K
Never-married,Sales,Own-child,Female,20,<=50K
Never-married,Prof-specialty,Not-in-family,Male,50,<=50K
Widowed,Sales,Unmarried,Female,40,<=50K
Never-married,Handlers-cleaners,Own-child,Male,30,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Divorced,Prof-specialty,Unmarried,Female,65,>50K
Divorced,Exec-managerial,Own-child,Female,50,>50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Never-married,Sales,Not-in-family,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,35,<=50K
Never-married,Other-service,Other-relative,Male,25,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Separated,Prof-specialty,Not-in-family,Male,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,<=50K
Divorced,Adm-clerical,Unmarried,Female,35,<=50K
Separated,Other-service,Unmarried,Female,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Tech-support,Own-child,Female,40,<=50K
Never-married,Sales,Own-child,Female,15,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Never-married,Other-service,Not-in-family,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,60,<=50K
Never-married,Prof-specialty,Not-in-family,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,42,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Never-married,Prof-specialty,Not-in-family,Male,40,>50K
Married-civ-spouse,Sales,Wife,Female,40,<=50K
Never-married,Other-service,Not-in-family,Female,20,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,59,>50K
Never-married,Other-service,Not-in-family,Female,24,<=50K
Divorced,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,45,<=50K
Never-married,Other-service,Own-child,Female,15,<=50K
Married-civ-spouse,noValueSetHere123156456,Wife,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Sales,Not-in-family,Female,36,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,<=50K
Widowed,Other-service,Unmarried,Female,20,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,>50K
Never-married,Other-service,Other-relative,Female,25,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,72,<=50K
Never-married,Exec-managerial,Not-in-family,Female,50,>50K
Never-married,Tech-support,Own-child,Male,40,<=50K
Never-married,Handlers-cleaners,Own-child,Male,20,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,40,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,>50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Never-married,Craft-repair,Own-child,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,37,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Never-married,Prof-specialty,Unmarried,Male,20,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Transport-moving,Unmarried,Male,50,<=50K
Never-married,Handlers-cleaners,Not-in-family,Male,40,<=50K
Never-married,Craft-repair,Own-child,Male,38,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,>50K
Never-married,Prof-specialty,Not-in-family,Female,45,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,40,>50K
Never-married,Farming-fishing,Not-in-family,Male,40,<=50K
Never-married,Other-service,Not-in-family,Female,18,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,38,>50K
Divorced,Protective-serv,Unmarried,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,70,>50K
Never-married,Sales,Not-in-family,Male,55,>50K
Separated,Other-service,Unmarried,Female,42,<=50K
Married-spouse-absent,Other-service,Other-relative,Male,40,<=50K
Married-civ-spouse,Sales,Wife,Female,30,<=50K
Divorced,Sales,Not-in-family,Female,50,<=50K
Never-married,Machine-op-inspct,Not-in-family,Male,40,<=50K
Never-married,Farming-fishing,Not-in-family,Female,38,<=50K
Separated,Farming-fishing,Not-in-family,Male,32,<=50K
Divorced,Craft-repair,Unmarried,Male,55,<=50K
Married-civ-spouse,Tech-support,Wife,Female,24,>50K
Never-married,Sales,Not-in-family,Male,38,<=50K
Divorced,Tech-support,Not-in-family,Male,56,<=50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Never-married,Tech-support,Not-in-family,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Machine-op-inspct,Not-in-family,Female,42,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,60,<=50K
Never-married,Sales,Not-in-family,Female,55,>50K
Divorced,Adm-clerical,Not-in-family,Female,38,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,50,<=50K
Never-married,Machine-op-inspct,Own-child,Male,30,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,16,<=50K
Never-married,noValueSetHere123156456,Not-in-family,Female,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,50,>50K
Married-civ-spouse,Tech-support,Husband,Male,40,<=50K
Never-married,noValueSetHere123156456,Own-child,Male,33,<=50K
Never-married,Sales,Not-in-family,Female,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,60,>50K
Never-married,Other-service,Other-relative,Male,20,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Machine-op-inspct,Not-in-family,Male,40,<=50K
Never-married,Tech-support,Not-in-family,Male,35,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Divorced,Craft-repair,Not-in-family,Male,40,<=50K
Never-married,Other-service,Own-child,Male,30,<=50K
Never-married,Farming-fishing,Unmarried,Male,20,<=50K
Divorced,Adm-clerical,Unmarried,Female,38,<=50K
Never-married,Sales,Own-child,Female,20,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,48,>50K
Married-spouse-absent,noValueSetHere123156456,Other-relative,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,47,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Transport-moving,Own-child,Male,30,<=50K
Separated,Other-service,Own-child,Female,36,<=50K
Never-married,noValueSetHere123156456,Own-child,Male,40,<=50K
Divorced,Exec-managerial,Not-in-family,Male,45,<=50K
Never-married,Adm-clerical,Own-child,Male,40,<=50K
Never-married,Farming-fishing,Own-child,Male,20,<=50K
Married-civ-spouse,Other-service,Wife,Female,75,<=50K
Never-married,Prof-specialty,Not-in-family,Female,60,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,50,>50K
Married-civ-spouse,Transport-moving,Husband,Male,45,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,50,>50K
Never-married,Adm-clerical,Unmarried,Male,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,46,<=50K
Never-married,Tech-support,Own-child,Male,40,<=50K
Widowed,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,60,<=50K
Widowed,Transport-moving,Unmarried,Male,42,>50K
