H,I,N
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,Asian-Pac-Islander,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,Dominican-Republic
Husband,White,noValueSetHere123156456
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,Amer-Indian-Eskimo,United-States
Not-in-family,Asian-Pac-Islander,China
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,England
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Other-relative,White,Cuba
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Asian-Pac-Islander,Philippines
Husband,White,United-States
Own-child,Black,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,El-Salvador
Husband,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Unmarried,Black,Japan
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,Mexico
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,Canada
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,noValueSetHere123156456
Unmarried,Asian-Pac-Islander,India
Own-child,Black,United-States
Unmarried,Black,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,Other,United-States
Own-child,White,United-States
Husband,White,Germany
Own-child,White,United-States
Husband,Asian-Pac-Islander,noValueSetHere123156456
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Other-relative,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,Italy
Not-in-family,White,United-States
Unmarried,White,United-States
Wife,Black,United-States
Not-in-family,Black,United-States
Husband,Asian-Pac-Islander,Japan
Own-child,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Not-in-family,White,Poland
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,Canada
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Other-relative,White,Iran
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,Black,noValueSetHere123156456
Unmarried,White,United-States
Unmarried,Black,United-States
Not-in-family,Black,United-States
Unmarried,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,Asian-Pac-Islander,Thailand
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Wife,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Unmarried,Amer-Indian-Eskimo,Germany
Husband,White,United-States
Wife,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,Peru
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Wife,White,United-States
Not-in-family,White,Mexico
Wife,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,Black,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,Asian-Pac-Islander,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Own-child,Asian-Pac-Islander,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
