A,F,H,J
25,Never-married,Not-in-family,Male
46,Never-married,Not-in-family,Male
43,Married-civ-spouse,Husband,Male
43,Divorced,Not-in-family,Male
24,Never-married,Own-child,Male
68,Never-married,Unmarried,Male
31,Divorced,Unmarried,Female
17,Never-married,Own-child,Female
32,Married-civ-spouse,Husband,Male
50,Married-spouse-absent,Other-relative,Male
33,Married-civ-spouse,Husband,Male
64,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
30,Separated,Own-child,Female
22,Never-married,Own-child,Male
43,Divorced,Not-in-family,Male
22,Never-married,Own-child,Male
17,Never-married,Own-child,Male
47,Married-civ-spouse,Wife,Female
41,Never-married,Not-in-family,Female
56,Married-civ-spouse,Husband,Male
64,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
48,Never-married,Unmarried,Male
31,Never-married,Not-in-family,Female
29,Never-married,Own-child,Male
30,Widowed,Not-in-family,Female
32,Married-civ-spouse,Husband,Male
57,Widowed,Unmarried,Male
62,Widowed,Not-in-family,Female
39,Separated,Unmarried,Female
43,Never-married,Not-in-family,Male
24,Never-married,Own-child,Male
42,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Wife,Female
26,Never-married,Own-child,Male
73,Married-civ-spouse,Husband,Male
72,Widowed,Not-in-family,Female
55,Married-civ-spouse,Husband,Male
25,Divorced,Not-in-family,Male
41,Divorced,Not-in-family,Female
24,Never-married,Not-in-family,Male
63,Widowed,Not-in-family,Male
17,Never-married,Own-child,Male
35,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
62,Widowed,Not-in-family,Female
55,Married-civ-spouse,Husband,Male
43,Divorced,Not-in-family,Male
40,Divorced,Not-in-family,Female
37,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
31,Never-married,Own-child,Male
61,Widowed,Not-in-family,Female
26,Divorced,Not-in-family,Female
46,Married-civ-spouse,Husband,Male
26,Never-married,Not-in-family,Female
48,Divorced,Own-child,Male
34,Never-married,Own-child,Male
34,Never-married,Own-child,Female
59,Married-civ-spouse,Husband,Male
34,Never-married,Own-child,Female
49,Never-married,Not-in-family,Female
18,Never-married,Own-child,Female
43,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
24,Never-married,Not-in-family,Female
21,Never-married,Not-in-family,Male
17,Never-married,Own-child,Male
39,Married-civ-spouse,Husband,Male
29,Separated,Own-child,Male
44,Married-civ-spouse,Husband,Male
24,Never-married,Own-child,Male
71,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
55,Divorced,Unmarried,Male
41,Married-civ-spouse,Husband,Male
23,Never-married,Unmarried,Female
38,Divorced,Unmarried,Female
39,Married-civ-spouse,Husband,Male
19,Never-married,Not-in-family,Female
49,Divorced,Not-in-family,Female
32,Married-civ-spouse,Other-relative,Male
27,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Wife,Female
63,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Male
33,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
29,Divorced,Not-in-family,Female
48,Divorced,Unmarried,Female
35,Never-married,Not-in-family,Male
28,Married-civ-spouse,Wife,Female
37,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
40,Married-civ-spouse,Husband,Male
47,Divorced,Own-child,Male
22,Never-married,Own-child,Female
30,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Husband,Male
63,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Female
27,Married-civ-spouse,Own-child,Male
35,Never-married,Not-in-family,Male
46,Divorced,Not-in-family,Female
37,Divorced,Not-in-family,Male
24,Never-married,Own-child,Male
37,Divorced,Own-child,Male
53,Married-civ-spouse,Husband,Male
27,Never-married,Not-in-family,Male
38,Divorced,Not-in-family,Male
53,Married-civ-spouse,Husband,Male
34,Never-married,Not-in-family,Male
23,Never-married,Own-child,Male
39,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Wife,Female
67,Married-civ-spouse,Husband,Male
81,Married-civ-spouse,Husband,Male
21,Never-married,Own-child,Male
23,Never-married,Not-in-family,Male
25,Never-married,Unmarried,Male
42,Married-civ-spouse,Wife,Female
38,Married-civ-spouse,Wife,Female
64,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
22,Never-married,Not-in-family,Female
33,Married-spouse-absent,Not-in-family,Female
42,Divorced,Not-in-family,Male
19,Never-married,Own-child,Female
51,Married-civ-spouse,Husband,Male
23,Married-civ-spouse,Wife,Female
37,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
47,Never-married,Not-in-family,Female
41,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
31,Never-married,Not-in-family,Male
31,Divorced,Unmarried,Female
35,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
18,Never-married,Not-in-family,Female
20,Married-civ-spouse,Husband,Male
54,Divorced,Unmarried,Female
40,Divorced,Unmarried,Female
36,Married-civ-spouse,Wife,Female
43,Divorced,Unmarried,Male
44,Divorced,Unmarried,Male
44,Married-civ-spouse,Wife,Female
43,Married-civ-spouse,Husband,Male
51,Widowed,Unmarried,Female
18,Never-married,Own-child,Female
51,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
33,Divorced,Not-in-family,Male
33,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
25,Married-civ-spouse,Husband,Male
32,Divorced,Not-in-family,Female
32,Married-civ-spouse,Husband,Male
36,Divorced,Unmarried,Female
28,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Female
35,Married-civ-spouse,Husband,Male
55,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
36,Widowed,Not-in-family,Female
34,Married-civ-spouse,Husband,Male
28,Never-married,Not-in-family,Female
67,Widowed,Not-in-family,Male
37,Married-civ-spouse,Husband,Male
44,Never-married,Unmarried,Male
25,Never-married,Not-in-family,Female
21,Never-married,Not-in-family,Female
40,Married-civ-spouse,Husband,Male
78,Widowed,Not-in-family,Female
34,Divorced,Own-child,Male
49,Never-married,Not-in-family,Female
22,Never-married,Not-in-family,Female
23,Never-married,Unmarried,Female
60,Never-married,Unmarried,Male
45,Widowed,Not-in-family,Male
63,Divorced,Not-in-family,Female
41,Never-married,Own-child,Female
47,Divorced,Unmarried,Female
44,Divorced,Unmarried,Male
51,Widowed,Not-in-family,Female
46,Never-married,Not-in-family,Male
41,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
35,Never-married,Not-in-family,Male
56,Married-civ-spouse,Husband,Male
45,Divorced,Not-in-family,Male
48,Divorced,Unmarried,Male
40,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
50,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Wife,Female
23,Never-married,Own-child,Female
31,Never-married,Own-child,Male
58,Married-civ-spouse,Husband,Male
66,Separated,Not-in-family,Male
39,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
26,Married-civ-spouse,Husband,Male
51,Divorced,Not-in-family,Female
34,Never-married,Own-child,Male
50,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Wife,Female
51,Widowed,Unmarried,Female
22,Divorced,Not-in-family,Male
19,Never-married,Own-child,Male
41,Never-married,Not-in-family,Male
48,Married-civ-spouse,Husband,Male
42,Separated,Not-in-family,Female
34,Married-civ-spouse,Husband,Male
23,Never-married,Unmarried,Female
56,Married-civ-spouse,Husband,Male
30,Never-married,Not-in-family,Male
45,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Wife,Female
48,Married-spouse-absent,Not-in-family,Male
31,Never-married,Not-in-family,Female
20,Never-married,Own-child,Male
27,Never-married,Not-in-family,Male
32,Never-married,Not-in-family,Female
76,Widowed,Not-in-family,Male
19,Never-married,Unmarried,Male
66,Married-civ-spouse,Husband,Male
37,Never-married,Not-in-family,Male
34,Divorced,Unmarried,Female
34,Married-civ-spouse,Wife,Female
90,Never-married,Not-in-family,Female
23,Never-married,Own-child,Female
43,Divorced,Not-in-family,Female
44,Married-civ-spouse,Husband,Male
24,Never-married,Not-in-family,Female
28,Divorced,Unmarried,Male
64,Never-married,Not-in-family,Female
23,Married-civ-spouse,Husband,Male
20,Never-married,Not-in-family,Female
36,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
52,Married-civ-spouse,Husband,Male
38,Divorced,Not-in-family,Male
32,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
41,Divorced,Not-in-family,Female
49,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
34,Separated,Unmarried,Female
49,Married-civ-spouse,Husband,Male
38,Never-married,Own-child,Male
35,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
36,Divorced,Not-in-family,Female
22,Never-married,Own-child,Female
38,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Wife,Female
17,Never-married,Own-child,Male
19,Never-married,Own-child,Male
27,Never-married,Not-in-family,Female
22,Never-married,Own-child,Male
49,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Wife,Female
43,Separated,Unmarried,Female
19,Divorced,Not-in-family,Female
58,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
31,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
29,Never-married,Not-in-family,Male
42,Married-civ-spouse,Husband,Male
38,Divorced,Own-child,Male
41,Married-civ-spouse,Husband,Male
44,Never-married,Not-in-family,Male
31,Married-spouse-absent,Not-in-family,Male
34,Divorced,Not-in-family,Male
21,Never-married,Own-child,Male
22,Never-married,Own-child,Male
62,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Female
29,Married-civ-spouse,Wife,Female
43,Divorced,Unmarried,Female
68,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Wife,Female
34,Divorced,Unmarried,Female
31,Never-married,Not-in-family,Male
29,Never-married,Own-child,Male
41,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Wife,Female
37,Never-married,Not-in-family,Male
69,Married-civ-spouse,Wife,Female
34,Divorced,Own-child,Female
60,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
58,Married-civ-spouse,Wife,Female
53,Married-civ-spouse,Husband,Male
29,Married-civ-spouse,Husband,Male
45,Divorced,Not-in-family,Female
34,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
48,Divorced,Unmarried,Female
20,Never-married,Own-child,Female
35,Married-civ-spouse,Husband,Male
63,Widowed,Not-in-family,Male
41,Divorced,Unmarried,Male
28,Married-civ-spouse,Husband,Male
30,Never-married,Not-in-family,Female
34,Divorced,Not-in-family,Female
31,Never-married,Unmarried,Female
37,Never-married,Own-child,Female
42,Divorced,Unmarried,Male
31,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
27,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Female
20,Never-married,Not-in-family,Male
59,Widowed,Unmarried,Female
40,Never-married,Not-in-family,Male
56,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
30,Never-married,Not-in-family,Female
46,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Male
40,Divorced,Unmarried,Female
24,Never-married,Not-in-family,Male
51,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Wife,Female
26,Never-married,Unmarried,Male
20,Never-married,Own-child,Male
44,Married-civ-spouse,Husband,Male
51,Widowed,Unmarried,Male
33,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Wife,Female
33,Divorced,Not-in-family,Female
65,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Female
88,Married-civ-spouse,Husband,Male
40,Divorced,Not-in-family,Male
51,Divorced,Not-in-family,Female
50,Divorced,Not-in-family,Female
25,Married-civ-spouse,Not-in-family,Male
20,Never-married,Not-in-family,Male
47,Married-civ-spouse,Husband,Male
58,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Female
50,Married-civ-spouse,Husband,Male
47,Never-married,Unmarried,Female
24,Never-married,Not-in-family,Male
50,Married-civ-spouse,Husband,Male
40,Divorced,Not-in-family,Female
36,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
59,Never-married,Own-child,Female
65,Married-civ-spouse,Husband,Male
24,Never-married,Not-in-family,Female
27,Never-married,Own-child,Male
51,Divorced,Not-in-family,Male
48,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Female
49,Divorced,Not-in-family,Female
51,Married-civ-spouse,Husband,Male
59,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Female
50,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
37,Divorced,Not-in-family,Male
44,Never-married,Not-in-family,Male
33,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Male
36,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
37,Separated,Own-child,Male
31,Divorced,Unmarried,Female
54,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
63,Widowed,Not-in-family,Female
48,Married-civ-spouse,Husband,Male
33,Divorced,Not-in-family,Female
31,Divorced,Not-in-family,Male
38,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Husband,Male
55,Widowed,Own-child,Female
38,Married-civ-spouse,Husband,Male
29,Never-married,Not-in-family,Female
36,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
50,Divorced,Unmarried,Female
75,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
52,Divorced,Unmarried,Female
27,Never-married,Not-in-family,Female
43,Married-civ-spouse,Husband,Male
31,Separated,Not-in-family,Female
23,Never-married,Not-in-family,Female
34,Never-married,Not-in-family,Female
41,Married-civ-spouse,Other-relative,Female
31,Never-married,Own-child,Female
42,Never-married,Own-child,Female
35,Never-married,Not-in-family,Male
55,Separated,Not-in-family,Female
36,Widowed,Not-in-family,Female
65,Married-civ-spouse,Husband,Male
38,Never-married,Not-in-family,Male
62,Widowed,Not-in-family,Female
54,Married-civ-spouse,Husband,Male
49,Divorced,Not-in-family,Male
34,Married-civ-spouse,Wife,Female
32,Never-married,Own-child,Female
51,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
52,Divorced,Not-in-family,Female
28,Never-married,Not-in-family,Male
29,Married-civ-spouse,Husband,Male
38,Never-married,Not-in-family,Female
57,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
37,Separated,Not-in-family,Male
30,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Husband,Male
69,Widowed,Not-in-family,Female
73,Widowed,Not-in-family,Female
22,Never-married,Own-child,Male
31,Never-married,Not-in-family,Female
38,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
44,Divorced,Not-in-family,Male
47,Never-married,Unmarried,Female
27,Married-civ-spouse,Husband,Male
28,Never-married,Not-in-family,Female
25,Never-married,Not-in-family,Female
20,Never-married,Unmarried,Female
51,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
67,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
52,Never-married,Not-in-family,Male
42,Divorced,Unmarried,Female
65,Married-civ-spouse,Husband,Male
21,Never-married,Own-child,Male
50,Married-civ-spouse,Wife,Female
46,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
37,Never-married,Not-in-family,Male
50,Married-civ-spouse,Husband,Male
58,Married-civ-spouse,Husband,Male
63,Widowed,Unmarried,Female
39,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
26,Married-civ-spouse,Husband,Male
21,Never-married,Not-in-family,Male
41,Married-civ-spouse,Husband,Male
44,Never-married,Own-child,Male
22,Married-civ-spouse,Husband,Male
29,Never-married,Not-in-family,Male
29,Never-married,Unmarried,Female
58,Married-civ-spouse,Wife,Female
36,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
29,Never-married,Not-in-family,Male
26,Never-married,Own-child,Female
43,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Wife,Female
45,Married-civ-spouse,Husband,Male
28,Never-married,Not-in-family,Female
20,Never-married,Not-in-family,Female
51,Divorced,Unmarried,Female
32,Married-civ-spouse,Husband,Male
24,Never-married,Own-child,Female
