F,H,I,J,K,N
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7688,Canada
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Unmarried,Amer-Indian-Eskimo,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,2174,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Amer-Indian-Eskimo,Male,0,United-States
Separated,Not-in-family,Black,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Not-in-family,White,Female,6849,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,1055,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Never-married,Own-child,White,Female,0,United-States
Widowed,Not-in-family,Black,Female,0,United-States
Widowed,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-spouse-absent,Unmarried,White,Male,0,El-Salvador
Never-married,Own-child,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Separated,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Wife,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Husband,White,Male,0,Cuba
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,5178,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Other-relative,White,Male,4101,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,Taiwan
Separated,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Unmarried,Asian-Pac-Islander,Female,0,Philippines
Widowed,Unmarried,White,Female,1111,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,8614,United-States
Married-civ-spouse,Husband,White,Male,3411,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-spouse-absent,Own-child,Asian-Pac-Islander,Female,0,South
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,2597,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Never-married,Not-in-family,White,Male,0,United-States
Widowed,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Portugal
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,Black,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,Dominican-Republic
Never-married,Other-relative,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,Poland
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Widowed,Unmarried,White,Female,0,Cuba
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,25236,United-States
Divorced,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,Jamaica
Never-married,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Separated,Not-in-family,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,4386,United-States
Divorced,Unmarried,White,Female,0,Honduras
Separated,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,4650,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Never-married,Not-in-family,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,9386,noValueSetHere123156456
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,Asian-Pac-Islander,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Wife,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,2407,United-States
Never-married,Not-in-family,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Unmarried,Black,Female,594,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,14084,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Never-married,Own-child,Black,Female,0,United-States
Never-married,Own-child,Black,Male,0,Haiti
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Never-married,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Divorced,Unmarried,White,Male,0,Portugal
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Separated,Unmarried,White,Female,0,United-States
Married-spouse-absent,Other-relative,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,Germany
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Separated,Not-in-family,White,Male,0,Guatemala
Divorced,Unmarried,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,noValueSetHere123156456
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Other,Female,0,United-States
Divorced,Not-in-family,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,1055,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Female,2463,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,England
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,5178,United-States
Married-spouse-absent,Other-relative,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,3103,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Separated,Own-child,White,Female,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,Italy
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Unmarried,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Separated,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,4386,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
