B,D,E,F,G,H,I,J,N,O
Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,Laos,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
Self-emp-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,Taiwan,>50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,Black,Female,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,United-States,>50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,Mexico,<=50K
Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Private,11th,7,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Assoc-voc,11,Never-married,noValueSetHere123156456,Own-child,Black,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
Local-gov,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,5th-6th,3,Never-married,Other-service,Other-relative,White,Male,Mexico,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,United-States,<=50K
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Sales,Unmarried,Black,Male,Haiti,<=50K
Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,United-States,<=50K
State-gov,Some-college,10,Never-married,Protective-serv,Own-child,Black,Female,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
noValueSetHere123156456,11th,7,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Assoc-voc,11,Divorced,noValueSetHere123156456,Unmarried,White,Female,United-States,<=50K
Private,Assoc-acdm,12,Married-spouse-absent,Other-service,Not-in-family,White,Male,Iran,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Local-gov,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Bachelors,13,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,>50K
Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
Private,11th,7,Widowed,Other-service,Unmarried,Other,Male,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
Self-emp-not-inc,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,Portugal,<=50K
Private,10th,6,Married-civ-spouse,Other-service,Wife,White,Female,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,>50K
Private,HS-grad,9,Married-spouse-absent,Sales,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,>50K
Private,HS-grad,9,Divorced,Sales,Unmarried,White,Female,United-States,<=50K
Federal-gov,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,11th,7,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
State-gov,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Private,5th-6th,3,Divorced,Craft-repair,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K
Local-gov,Some-college,10,Married-civ-spouse,Transport-moving,Wife,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,United-States,>50K
Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Assoc-acdm,12,Separated,Craft-repair,Not-in-family,White,Male,United-States,<=50K
State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,noValueSetHere123156456,>50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Handlers-cleaners,Unmarried,White,Female,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Never-married,noValueSetHere123156456,Other-relative,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
State-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
Private,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Female,United-States,<=50K
Private,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,Puerto-Rico,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Some-college,10,Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Local-gov,Some-college,10,Divorced,Other-service,Not-in-family,Black,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Black,Female,United-States,<=50K
Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Private,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
State-gov,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,United-States,>50K
Private,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico,<=50K
Private,11th,7,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Local-gov,11th,7,Separated,Machine-op-inspct,Not-in-family,Black,Male,United-States,<=50K
State-gov,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
Private,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,United-States,<=50K
Private,10th,6,Never-married,Craft-repair,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Federal-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,Dominican-Republic,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Widowed,noValueSetHere123156456,Not-in-family,White,Male,United-States,<=50K
noValueSetHere123156456,11th,7,Never-married,noValueSetHere123156456,Own-child,White,Male,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,White,Female,United-States,>50K
Private,Some-college,10,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,Philippines,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Local-gov,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Black,Male,United-States,<=50K
Local-gov,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
Local-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Federal-gov,HS-grad,9,Never-married,Armed-Forces,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,9th,5,Never-married,Craft-repair,Other-relative,White,Male,Mexico,<=50K
Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Widowed,Exec-managerial,Unmarried,Black,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,11th,7,Never-married,noValueSetHere123156456,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,United-States,<=50K
Self-emp-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,noValueSetHere123156456,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,United-States,>50K
Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Some-college,10,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,1st-4th,2,Married-spouse-absent,Craft-repair,Unmarried,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,United-States,>50K
Private,Some-college,10,Never-married,Prof-specialty,Unmarried,White,Male,United-States,>50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,United-States,<=50K
Private,9th,5,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,10th,6,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,United-States,<=50K
